PLAYERS,,GP,MIN,FGm,FGa,FG%,3Pm,3Pa,3P%,FTm,FTa,FT%,APG,STL,BLK,oREB,dREB,REB,PF,TOV,+/-,PTS
G. Alolino,,10,91.80,9,31,29%,5,17,29%,3,3,100%,9,2,0,0,12,12,11,2,-37,26
G. Alolino,,10,91.80,9,31,29%,5,17,29%,3,3,100%,9,2,0,0,12,12,11,2,-37,26
E. Daquioag,,10,126.12,9,31,29%,5,19,26%,3,7,43%,15,7,0,2,5,7,15,6,-4,26
E. Daquioag,,10,126.12,9,31,29%,5,19,26%,3,7,43%,15,7,0,2,5,7,15,6,-4,26
E. Daquioag,,10,126.12,9,31,29%,5,19,26%,3,7,43%,15,7,0,2,5,7,15,6,-4,26
L. Tenorio,,6,60.22,5,16,31%,4,10,40%,0,0,0%,8,0,0,2,2,4,4,6,-27,14
L. Tenorio,,6,60.22,5,16,31%,4,10,40%,0,0,0%,8,0,0,2,2,4,4,6,-27,14
L. Tenorio,,6,60.22,5,16,31%,4,10,40%,0,0,0%,8,0,0,2,2,4,4,6,-27,14
K. Lojera,,7,32.38,5,11,45%,2,6,33%,4,4,100%,0,3,0,1,2,3,3,1,-13,16
K. Lojera,,7,32.38,5,11,45%,2,6,33%,4,4,100%,0,3,0,1,2,3,3,1,-13,16
K. Lojera,,7,32.38,5,11,45%,2,6,33%,4,4,100%,0,3,0,1,2,3,3,1,-13,16
S. Camacho,,11,123.92,11,21,52%,0,0,0%,3,8,38%,5,5,6,15,21,36,20,9,-10,25
S. Camacho,,11,123.92,11,21,52%,0,0,0%,3,8,38%,5,5,6,15,21,36,20,9,-10,25
S. Camacho,,11,123.92,11,21,52%,0,0,0%,3,8,38%,5,5,6,15,21,36,20,9,-10,25
J. Ahanmisi,,9,62.32,7,22,32%,6,18,33%,0,0,0%,2,1,0,0,3,3,12,1,23,20
J. Ahanmisi,,9,62.32,7,22,32%,6,18,33%,0,0,0%,2,1,0,0,3,3,12,1,23,20
J. Ahanmisi,,9,62.32,7,22,32%,6,18,33%,0,0,0%,2,1,0,0,3,3,12,1,23,20
S. Onwubere,,5,21.12,4,6,67%,3,3,100%,0,0,0%,0,1,0,2,4,6,4,3,5,11
